title,channel,views,published,url
Uchinaguchi Lesson Vol.7  &quot;Hi&quot;,OkinaWanderer,65,2023-01-23T01:30:02Z,https://www.youtube.com/watch?v=38_Mff7ymJM
"My Okinawa language/Uchinaguchi Lesson ３ in English. 「英語で学ぶ沖縄方言、うちなーぐち３」Okinawa Story, 沖縄ストーリー",MyOkinawaStory ⭐️我的沖縄物語,534,2020-08-21T23:30:01Z,https://www.youtube.com/watch?v=MOpp_woMuds
"学冲绳语第2课 My Okinawa language/Uchinaguchi Lesson ② Chinese. 「中国語で学ぶ沖縄方言、うちなーぐち②」Okinawa Story, 沖縄ストーリー",MyOkinawaStory ⭐️我的沖縄物語,224,2020-07-29T07:49:07Z,https://www.youtube.com/watch?v=bcdaVJ9exEE
"My Okinawa language/Uchinaguchi Lesson ② in English. 「英語で学ぶ沖縄方言、うちなーぐち②」Okinawa Story, 沖縄ストーリー",MyOkinawaStory ⭐️我的沖縄物語,426,2020-07-25T05:00:04Z,https://www.youtube.com/watch?v=Q8EFTK1WJxQ
Lesson 1 - Hello in Uchinaaguchi,Brandon Ing - Topic,310,2022-11-25T22:57:33Z,https://www.youtube.com/watch?v=UUy744ydKyE
Let&#39;s sing Uchinaaguchi! Lesson 1,Let's Sing Uchinaaguchi,32797,2012-01-26T22:21:01Z,https://www.youtube.com/watch?v=nwk8o_r00MA
Let&#39;s sing Uchinaaguchi! Lesson 2,Let's Sing Uchinaaguchi,26494,2012-03-30T05:55:15Z,https://www.youtube.com/watch?v=lrx7-tv9h-c
Let&#39;s sing Uchinaaguchi! Lesson 1 (LIVE @Jikoen),Let's Sing Uchinaaguchi,1589,2016-04-14T05:50:18Z,https://www.youtube.com/watch?v=4TcSgXtto94
JICC Mini Lesson - Japanese Dialects  Okinawan,"JICC: Japan Information & Culture Center, Embassy of Japan",863,2020-06-01T20:25:36Z,https://www.youtube.com/watch?v=smDshRoJeuo
Uchinaguchi Lesson Vol.9 『ほ（ぽ）』,ボスイケチャンネル,29,2023-02-01T01:30:22Z,https://www.youtube.com/watch?v=cA8MOHPtnQ8
Standard Japanese VS Okinawa Japanese,Sprixentrix,2209,2023-02-28T07:21:36Z,https://www.youtube.com/watch?v=BUKVd1Ba5S8
Uchinaaguchi (Okinawan Language) mini lesson,Koutaro Yuuji,3032,2020-11-01T23:44:13Z,https://www.youtube.com/watch?v=rKXy2r0cD1s
"My Okinawa language/Uchinaguchi Lesson ② in Malay. 「マレー語で学ぶ沖縄方言、うちなーぐち②」Okinawa Story, 沖縄ストーリー",MyOkinawaStory ⭐️我的沖縄物語,757,2020-08-11T02:00:02Z,https://www.youtube.com/watch?v=9ljUdn0KpH0
Lesson 14-2 Let&#39;s Learn Okinawa Dialect!,Grace Yuu Asakura,10244,2016-01-29T07:38:18Z,https://www.youtube.com/watch?v=Tac107CQqJ4
Uchinaguchi Lesson Vol.6 『は』,ボスイケチャンネル,57,2023-01-19T01:30:01Z,https://www.youtube.com/watch?v=66wNMcUDdC4
Uchinaguchi Lesson Vol.8 『ふ』,ボスイケチャンネル,12,2023-01-30T01:30:04Z,https://www.youtube.com/watch?v=7t8_aPzVNak
The Okinawan Language - Chanukah #shorts 2/8 #okinawan #uchinaguchi,Che Languages,3168,2022-12-19T11:41:07Z,https://www.youtube.com/watch?v=qr0OlTZIQ-0
"SAI Tutorial ,traditional Okinawan weapon (Ryukyu , Okinawa Kobudo)",Kohji Katoh,13718,2020-05-11T07:34:48Z,https://www.youtube.com/watch?v=YiaMffbKv8E
My Okinawa language Lesson 6 in English「英語で学ぶうちなーぐち6」&quot;Okinawan food which you can find in Singapore&quot;,MyOkinawaStory ⭐️我的沖縄物語,492,2021-04-03T11:00:07Z,https://www.youtube.com/watch?v=M6l317gp_YI
Ohio Tomonokai Okinawan Folk Dancing Lesson,James Knott,5678,2007-08-28T04:25:14Z,https://www.youtube.com/watch?v=LmP1H5jYHkE
Uchinaguchi Lesson Vol.9 『へ（べ）』,ボスイケチャンネル,11,2023-01-31T01:30:03Z,https://www.youtube.com/watch?v=F9zMNSDxv8U
Uchinaguchi Lesson Vol.9  &quot;He (Be)&quot;,OkinaWanderer,45,2023-01-31T01:30:30Z,https://www.youtube.com/watch?v=wYt0g44_Rjs
明日使える！沖縄方言講座 ①,南の島のおばーと孫,338538,2019-09-14T10:06:27Z,https://www.youtube.com/watch?v=622IehSSb0k
Okinawan Karate Pressure Point Strikes,THE MARTIAL MAN,4662,2025-02-03T06:48:21Z,https://www.youtube.com/watch?v=EgEcgXGJvqM
Uchinaguchi Lesson Vol.7 『ひ』,ボスイケチャンネル,24,2023-01-23T01:30:22Z,https://www.youtube.com/watch?v=jgdlsfQMLBE
Karate 27 Basic Movements | Okinawan Karate | Every day Karate at Home | Ageshio Japan #shorts,Okinawa Karate Masters,2981,2024-11-27T13:57:40Z,https://www.youtube.com/watch?v=SE1D5KzlD9o
&quot; TOP 5 Useful OKINAWA words &quot;  My Okinawa language Lesson ４ in English. 「英語で学ぶ沖縄方言、うちなーぐち４」,MyOkinawaStory ⭐️我的沖縄物語,325,2020-09-05T06:13:43Z,https://www.youtube.com/watch?v=FtoFtzRHP88
Basic Karate Punches | Okinawan Karate | Everyday Karate at Home | Ageshio Japan,Okinawa Karate Masters,143566,2022-12-16T11:00:02Z,https://www.youtube.com/watch?v=4zrufBoxSuQ
My Okinawa Language lesson in Multi-Languages. PR Video.Okinawa story　多言語で学ぶ「沖縄方言、ウチナーグチ」プロモーションビデオ,MyOkinawaStory ⭐️我的沖縄物語,517,2020-07-11T07:00:12Z,https://www.youtube.com/watch?v=Tf6DFPM68Ok
Lesson Spin-Off ~OKINAWA~,土曜講座クラブ ~ Je me souviens ~,322,2014-09-28T12:59:04Z,https://www.youtube.com/watch?v=JYvt4M4F2vI
Okinawan Karate Pressure Point Takedown #karate #okinawa,THE MARTIAL MAN,12742,2024-01-02T02:37:23Z,https://www.youtube.com/watch?v=dpHL52C6C9o
Karate 27 Basic Movements | Okinawan Karate | Every day Karate at Home | Ageshio Japan,Okinawa Karate Masters,2431844,2022-05-17T11:00:07Z,https://www.youtube.com/watch?v=FQxa9Cj7KAE
10th Dan Okinawan Karate Sensei explains why he punches with the first two knuckles 👊,THE MARTIAL MAN,118791,2023-02-01T16:20:55Z,https://www.youtube.com/watch?v=LjLkZDwaQws
"TOP 3 useful Okinawan words for CONVID19 in English,  Lesson 8.  英語で学ぶウチナーグチ沖縄方言,コロナ禍で使う沖縄方言BEST 3.",MyOkinawaStory ⭐️我的沖縄物語,98,2021-10-09T02:30:01Z,https://www.youtube.com/watch?v=55dJNCdhG-c
NUMBERS IN OKINAWAN LANGUAGE,ILoveLanguages!,6217,2025-04-11T15:30:10Z,https://www.youtube.com/watch?v=Iioy3GAlVvc
Learn Japanese in Okinawa! 🇯🇵🌴🌊 #shorts,Saki’s Japanese Lessons,1653,2022-11-20T16:00:37Z,https://www.youtube.com/watch?v=u_kWJIF5C70
沖縄方言講座！,おばぁTube! 沖縄から介護職の魅力発信,1881,2022-06-02T11:24:18Z,https://www.youtube.com/watch?v=UrDi5lpX4jw
"&quot; TOP 3 WORDS , You can impress Okinawans &quot;  My Okinawa language Lesson 5 in English. 「英語で学ぶうちなーぐち5」",MyOkinawaStory ⭐️我的沖縄物語,355,2020-09-25T23:45:01Z,https://www.youtube.com/watch?v=VEyQsn-v96k
Okinawan Karate - Goju Ryu Sanchin,Iron Ronin Budo,2258,2023-05-06T14:02:21Z,https://www.youtube.com/watch?v=E5D-SJ0nDHA
"The Okinawan language, casually spoken | Gijs and Takako speaking Uchinaaguchi | Wikitongues",Wikitongues,96540,2022-08-17T20:19:20Z,https://www.youtube.com/watch?v=0T2OnDntxOI
Is Okinawan a dialect of Japanese or a separate language?,Rob Kajiwara,33410,2018-11-28T08:47:37Z,https://www.youtube.com/watch?v=6ZjVmtlW8q0
JAPANESE &amp; OKINAWAN (STANDARD SHURI DIALECT),ILoveLanguages!,123523,2023-03-21T14:07:30Z,https://www.youtube.com/watch?v=cbZ837G4ArM
Japanese VS Okinawan. How Different Are They? REALITY CHECK,Metatron's Academy,20689,2023-08-27T23:00:28Z,https://www.youtube.com/watch?v=NntK3WM1J-k
Common Okinawan Phrases | Uchinaguchi for Beginners,Rob Kajiwara,8400,2020-10-28T08:09:36Z,https://www.youtube.com/watch?v=Ny9lvA_2A6Y
Conversation in the Okinawan language,LanguageOdditorium,65585,2011-12-16T12:54:07Z,https://www.youtube.com/watch?v=1ZWtnP0ft2s
"How to say &quot;excuse me&quot; in the Okinawan language, Uchinaguchi",Rob Kajiwara,2362,2019-05-08T08:06:12Z,https://www.youtube.com/watch?v=fZdGRX1iucU
Ikigai &amp; Moai: Secrets to Okinawan Happiness &amp; Longevity,GreenInPulse,1095,2025-05-22T22:55:03Z,https://www.youtube.com/watch?v=fXYqKLuIeR0
What&#39;s Up With Okinawan Names? - A Language History,Unseen Japan,31421,2020-08-11T12:01:06Z,https://www.youtube.com/watch?v=Eza2CwrTR8Y
Language vs Dialect #okinawa #language,Letsgokinawa ,8179,2023-09-26T15:19:47Z,https://www.youtube.com/watch?v=LZ9vYcMfhSQ
"How to say &quot;Thank You&quot; in the Okinawan language, Uchinaguchi｜うちなーぐち 授業｜琉球語",Rob Kajiwara,7654,2020-11-17T06:24:43Z,https://www.youtube.com/watch?v=CevZmVbiAsY
OKINAWEN - Japans HIDDEN Island Language 🇯🇵💬 #okinawa #languages #japaneseculture,World Eddie,2311,2024-11-02T01:51:29Z,https://www.youtube.com/watch?v=ka3rTNS-Xms
Are Okinawan&#39;s Japanese?,Muteki Matt,40277,2020-07-21T01:00:08Z,https://www.youtube.com/watch?v=zaTVtuhpMnw
Learn the Okinawan Dialect in Japan,Staycloudy14,815,2023-12-22T09:00:31Z,https://www.youtube.com/watch?v=RM8oMUj2NJM
Okinawan Numbers | How to count 1-10 in the Okinawan language | Uchinaguchi,Rob Kajiwara,4787,2020-10-12T05:14:43Z,https://www.youtube.com/watch?v=ds-cYjAjpIY
What Japan thinks of the Okinawan language,Rob Kajiwara,2571,2020-06-13T04:03:03Z,https://www.youtube.com/watch?v=tQhJp4C6ihg
Okinawan Language Program with Japanese Subtitles,ଅନ୍ଵେଷ ପତି,514,2022-02-26T08:07:49Z,https://www.youtube.com/watch?v=Z7C-Xv722_8
JEJU &amp; OKINAWAN,ILoveLanguages!,18125,2023-12-02T14:00:31Z,https://www.youtube.com/watch?v=VQg97pb3NYc
Okinawan vs Tokyo Native What&#39;s the BIGGEST Cultural Difference?,Japan Documented,21205,2024-10-29T12:00:31Z,https://www.youtube.com/watch?v=JYlPKj_lZUs
My terrible attempt to speak Okinawan language (uchiaaguchi) from memory,JoshTheCollins,4702,2021-06-05T16:18:10Z,https://www.youtube.com/watch?v=XGjZWkD6x2U
Descent of Tongues: Okinawan,Linguistics Direct,6851,2016-10-03T18:04:57Z,https://www.youtube.com/watch?v=e8VFYct1y9g
Japan&#39;s Stereotypes Against Amejo in Okinawa,VICE Asia,367111,2021-07-22T12:00:11Z,https://www.youtube.com/watch?v=70H0EA83dJA
Okinawa dialect older brother and sister,Wright Juku Online,4077,2021-10-02T05:19:51Z,https://www.youtube.com/watch?v=E_ocl6xwkTk
JAPONIC: KAGOSHIMA &amp; OKINAWAN,ILoveLanguages!,12225,2024-02-29T14:00:27Z,https://www.youtube.com/watch?v=iCCl7OD6okc
Definition of Okinawa vs Ryukyu #okinawa #history #japan #ryukyu,Letsgokinawa ,12054,2024-01-19T16:56:44Z,https://www.youtube.com/watch?v=uREwNnTvgVY
Okinawan colors | How to speak the Okinawan language | Uchinaguchi,Rob Kajiwara,1510,2020-10-17T00:34:01Z,https://www.youtube.com/watch?v=gpeO_h1Ck-4
Creating new words in the Okinawan language | うちなーぐち新字作成さ|沖縄語・琉球語,Rob Kajiwara,3906,2020-05-25T07:06:53Z,https://www.youtube.com/watch?v=WGEKvmRiJrY
Do Okinawans See Themselves as Japanese? | JAPAN STREET INTERVIEW,Muramasa,7238,2025-02-28T10:12:38Z,https://www.youtube.com/watch?v=L2yvf-pQJ2I
Japanese from Okinawa in UK  #Okinawa #Japan #Japanese,Arnaud From France,4717,2023-06-11T19:45:00Z,https://www.youtube.com/watch?v=97YAK0T5rYQ
"MIYAKOAN LANGUAGE, PEOPLE, &amp; CULTURE",ILoveLanguages!,19754,2024-07-01T14:00:41Z,https://www.youtube.com/watch?v=qmUgDxEEpoU
How to say “Hello” in okinawan language! Study okinawan language.  Haisai and haitai.,World Okinawa Channel,1497,2021-05-12T13:27:06Z,https://www.youtube.com/watch?v=q7Ef3hPNY-w
What is Uchinaguchi?! How important is this Okinawan language to its society?,Orane Reid,432,2021-07-02T09:18:26Z,https://www.youtube.com/watch?v=vw8n2t5vDV4
"Yes, we spoke in Japanese the whole time with strong Okinawan accent #businessinjapan #okinawa #tea",Christal Burnette - Haitai Longevity,4908,2024-01-23T11:54:04Z,https://www.youtube.com/watch?v=YPF5R6n8HS4
#okinawa #irabu #snake #language #shimakutuba #uchinanchu,World Okinawa Channel,70,2025-03-04T14:43:57Z,https://www.youtube.com/watch?v=DAhDpLeJV50
#okinawa #language #yassa #uchinanchu,World Okinawa Channel,69,2024-08-16T22:40:01Z,https://www.youtube.com/watch?v=4R824Hy3rWc
沖縄弁 首里(1979年) 字幕解説付き [Okinawan language / Shuri dialect],minerva scientia,80382,2021-07-21T16:08:16Z,https://www.youtube.com/watch?v=F9Dee3lLkPM
How to say “Thank you” in Okinawan language! Study Okinawan language. Nifedebiru.,World Okinawa Channel,1004,2021-08-27T23:53:02Z,https://www.youtube.com/watch?v=RifHo7j-PeI
#okinawa #language #chibi #uchinanchu,World Okinawa Channel,133,2024-12-25T22:36:26Z,https://www.youtube.com/watch?v=HAIwBM6goCs
How to say goodbye in the Okinawan language | うちなーぐち沖縄語琉球語,Rob Kajiwara,2051,2020-12-03T08:24:30Z,https://www.youtube.com/watch?v=Wd3UwX-hVdU
Okinawan Secret - Yuimaaru!,Japan Talker,91,2023-07-04T12:00:27Z,https://www.youtube.com/watch?v=kO0a1yZBIJY
Okinawa Language and Identity: Q2 Japan,Q2Japan,11264,2018-04-18T00:48:05Z,https://www.youtube.com/watch?v=zqQfQgEWtlA
How to say “how are you doing?” in okinawan language! Study okinawan language. Chaganjuune.,World Okinawa Channel,289,2021-06-04T01:31:48Z,https://www.youtube.com/watch?v=5uUvCnriQO4
Uchinaguchi Study Group (#1) - Special Topics - Channel Introduction  (Okinawa Language 沖縄語),Uchinaguchi Study Group  (Okinawan language),2421,2021-04-09T10:15:02Z,https://www.youtube.com/watch?v=vXBRnbT7-Ac
Okinawan secrets - Ichariba Chode,Japan Talker,259,2023-07-03T12:00:38Z,https://www.youtube.com/watch?v=ncYkH2mZLI0
Uchinaguchi Study Group (#8) - Grammar - Sentence Pattern - &quot;This is&quot; やん  (Okinawan Language 沖縄語),Uchinaguchi Study Group  (Okinawan language),1158,2021-05-28T10:15:02Z,https://www.youtube.com/watch?v=T1p0Mc_8BaQ
#okinawa #language #chuganabira   #uchinanchu,World Okinawa Channel,99,2024-08-13T10:16:06Z,https://www.youtube.com/watch?v=fCGUmB_hPCo
【沖縄】難易度MAX！ウチナーグチ！【秘密のケンミンSHOW極公式|2022年7月7日 放送】,【公式】秘密のケンミンSHOW極,60974,2023-06-19T10:17:48Z,https://www.youtube.com/watch?v=R5RhF-x-dZk
【アフレコ】一気見＆おまけ！ 沖縄方言 すぎる 白雪姫【総集編 まとめ】 ※子ども向けコンテンツではありません,rain@沖縄方言で歌ってみた,1876362,2024-03-01T11:00:07Z,https://www.youtube.com/watch?v=WHy2lBKEY-g
【アフレコ】鏡よ鏡 沖縄 の 英語 (ウチナーアミリカーグチ) 編 まとめ 【 沖縄方言 すぎる 白雪姫】,rain@沖縄方言で歌ってみた,159555,2024-11-23T08:45:08Z,https://www.youtube.com/watch?v=3Gq-1I0XAhM
童神／ウチナーグチ,kamadaa1,1373656,2011-06-27T06:27:14Z,https://www.youtube.com/watch?v=zXiIPp06SOY
【2024 新翻訳】 涙そうそう ウチナーグチ ver. 【 沖縄方言 で 歌ってみた 】,rain@沖縄方言で歌ってみた,51705,2024-07-20T08:45:07Z,https://www.youtube.com/watch?v=1r_f_a2aJKs
BEGIN／涙そうそう（ウチナーグチ）,fujiki,2681688,2011-03-10T11:23:20Z,https://www.youtube.com/watch?v=Qn7J9clWODA
【沖縄】アナタにはわかる！？激ムズ沖縄弁【秘密のケンミンSHOW極公式|2022年7月7日 放送】,【公式】秘密のケンミンSHOW極,2196894,2022-12-23T10:00:25Z,https://www.youtube.com/watch?v=rJWjQZgm5ss
【フルは説明欄❗ アフレコ 】絶対に方言で歌ってはいけない「 Get Wild 」【 沖縄方言 すぎる 白雪姫 フルもあるよ編　歌ってみた 】#shorts ※一部ウチナーヤマトゥグチです,rain@沖縄方言で歌ってみた,46559,2025-02-11T08:45:00Z,https://www.youtube.com/watch?v=DzHb2405Ots
【アフレコ】帰ってきた衝撃コラボ！PART2 沖縄方言 すぎる 白雪姫 と 東北方言 すぎる シンデレラ【鏡がまさかの…！？】,rain@沖縄方言で歌ってみた,90776,2024-12-08T08:45:06Z,https://www.youtube.com/watch?v=0wAsfshA01M
うちなーぐち朝のラジオ体操（2012年3月7日配信）,CamplooOkinawa,450570,2012-03-07T04:31:52Z,https://www.youtube.com/watch?v=PxO_w-Gtn6k
【感動】 童神 ～ウチナーグチ～ rain cover【三線 沖縄方言 で 歌ってみた】,rain@沖縄方言で歌ってみた,82301,2024-01-03T08:45:08Z,https://www.youtube.com/watch?v=JSooBidAL9Q
【 アフレコ 】 鏡よ鏡 「 沖縄 の 英語 (ウチナーアミリカーグチ)編① ワーラー 」【 沖縄方言 すぎる 白雪姫 】 #shorts,rain@沖縄方言で歌ってみた,2991146,2024-11-05T08:45:00Z,https://www.youtube.com/watch?v=DeiUWdIRYP4
【方言 で 歌ってみた 】 沖縄 女性 が 本気のウチナーグチで「 デビルマンのうた 」【 アニソン カバー 】devilman no uta,rain@沖縄方言で歌ってみた,367158,2023-05-05T08:45:10Z,https://www.youtube.com/watch?v=ysQ9cFSli-k
大阪弁に逆変換：沖縄方言（うちなーぐち）ラッスンゴレライ byありんくりん,いめゆんな,1373414,2015-09-07T07:27:13Z,https://www.youtube.com/watch?v=IQ8RHEbJ93Q
ラジオ体操第1 沖縄編〈ウチナーグチVer.〉,Release - Topic,85687,2022-07-19T10:06:55Z,https://www.youtube.com/watch?v=tJ-M56fq27Q
【MV】沖縄方言で『♪ハナミズキ』歌ってみた！！【琉球王国時代を完全再現】Acoustic cover by 宮城夏鈴「チムガナサ」スペシャルコラボ！！,Nanaironote,724051,2021-04-25T03:57:43Z,https://www.youtube.com/watch?v=8Ydmw4Xie4k
うちなーぐち(沖縄方言)言ってみた【轟はじめ/ReGLOSS】#hololivedev_is,Hajime Ch. 轟はじめ ‐ ReGLOSS,211907,2024-03-20T08:00:29Z,https://www.youtube.com/watch?v=xbSVxorsSFc
【 アフレコ 総集編 】鏡よ鏡シリーズ2024【 沖縄方言 すぎる 白雪姫　一気見 まとめ】　※子ども向けコンテンツではありません,rain@沖縄方言で歌ってみた,114070,2025-01-01T08:45:06Z,https://www.youtube.com/watch?v=CN9VZxrAdB8
涙そうそう／ ウチナーグチ,kamadaa1,1319333,2011-06-27T06:13:36Z,https://www.youtube.com/watch?v=FfREmk4H38Y
【沖縄語】ウチナーグチしかわからないオジーに孫が日本語で話したら叱られたw 【うちなーぐちネイティブ】 #shorts #沖縄 #うちなーぐち,沖縄マスターへの道,27046,2022-03-01T09:39:40Z,https://www.youtube.com/watch?v=Wb7XBYT17r8
【アフレコ】歌うまだけどゴリゴリ方言禁止! 懐かしの アニソン 編 まとめ＋オマケ【 沖縄方言 すぎる 白雪姫　歌ってみた 】 ※子ども向けコンテンツではありません,rain@沖縄方言で歌ってみた,460753,2024-05-05T08:45:26Z,https://www.youtube.com/watch?v=RJOdYYcefNA
【アフレコ】絶対に方言で歌ってはいけない「 A Whole New World / アラジン」【 沖縄方言 すぎる 白雪姫　歌ってみた】　#shorts ※子ども向けコンテンツではありません,rain@沖縄方言で歌ってみた,607992,2024-06-11T08:45:02Z,https://www.youtube.com/watch?v=odDT9a9O4aM
沖縄に移住したらまず覚えるうちなーぐち　#shorts,沖東交通グループ公式,11499,2024-07-05T10:30:01Z,https://www.youtube.com/watch?v=58tqZ_hU8hc
【アフレコ】 沖縄方言 すぎる 白雪姫、衝撃の ディズニー コラボ PART1【東北弁 シンデレラ】,rain@沖縄方言で歌ってみた,726666,2023-12-03T08:45:09Z,https://www.youtube.com/watch?v=QtrjTovnGgU
【フルは説明欄❗ アフレコ 】絶対に方言で歌ってはいけない「 うっせぇわ 」【 沖縄方言 すぎる 白雪姫 フルもあるよ編　歌ってみた 】#shorts,rain@沖縄方言で歌ってみた,22290,2025-02-15T08:45:00Z,https://www.youtube.com/watch?v=DhVzAWjXeHc
【 方言 で 歌ってみた】 沖縄 女性が もののけ姫 をウチナーグチで歌うとまるで神の言葉【三線】,rain@沖縄方言で歌ってみた,67462,2023-11-25T08:45:00Z,https://www.youtube.com/watch?v=577tfUe1yRg
【アフレコ】絶対に方言で歌ってはいけない「 if... 」【 沖縄方言 すぎる 白雪姫　歌ってみた】　#shorts ※子ども向けコンテンツではありません,rain@沖縄方言で歌ってみた,4211219,2024-05-23T08:45:00Z,https://www.youtube.com/watch?v=2R0_cB2kZHE
【アフレコ】 沖縄方言 すぎる ローマの休日【前編 まとめ 〜 沖縄観光 する王女〜 ミハマの休日】,rain@沖縄方言で歌ってみた,147888,2024-04-27T08:45:31Z,https://www.youtube.com/watch?v=tnz2qyuvFVM
涙そうそう（ウチナーグチ・バージョン）,Rimi Natsukawa - Topic,161003,2018-07-09T23:27:47Z,https://www.youtube.com/watch?v=JWQMMDKbEec
じゅん選手が本気で沖縄方言（ウチナーグチ）で喋ってみた！【じゅん選手の生い立ち】,おきなわちゃんねる,46964,2025-02-13T09:13:00Z,https://www.youtube.com/watch?v=0VryKXAtges
【アフレコ】絶対に方言で歌ってはいけない「 サウダージ / ポルノグラフィティ 」【 沖縄方言 すぎる 白雪姫 メンバーリクエスト編　歌ってみた】#shorts ※子ども向けコンテンツではありません,rain@沖縄方言で歌ってみた,3246846,2024-07-08T08:45:00Z,https://www.youtube.com/watch?v=-dQAlfy36D0
【 アフレコ 】 鏡よ鏡 「 似たような発音編③ いい 」【 沖縄 方言 すぎる 白雪姫 】 #shorts ※子ども向けコンテンツではありません,rain@沖縄方言で歌ってみた,912525,2025-04-04T08:45:02Z,https://www.youtube.com/watch?v=Gd_4XbXRk2A
にんげんっていいな うちなーぐちVer.,根間ういちゃんねる,401389,2019-07-09T11:00:03Z,https://www.youtube.com/watch?v=OrID8bAsrwA
『涙そうそう』  ウチナーグチLIVE  ☆  夏川りみ    Rimi Natsukawa,東京 「 夏川りみ 」 倶楽部 ☆.。.:*・ Rimi Natsukawa in club Tokyo!,116727,2016-01-12T11:42:51Z,https://www.youtube.com/watch?v=a6qaT1SNq8k
【アフレコ】鏡よ鏡『沖縄の名前編』 まとめ ＋オマケ【 沖縄方言 すぎる 白雪姫 】,rain@沖縄方言で歌ってみた,256193,2024-02-17T08:45:09Z,https://www.youtube.com/watch?v=QEpvzyILKlk
【沖縄語・日本語訳付】フルうちなーぐちで戦中・戦後の食べ物が無い時代の話 #うちなーぐち #okinawan,沖縄マスターへの道,881,2024-11-30T15:22:49Z,https://www.youtube.com/watch?v=BZQ1KPQHgl4
キャラが強すぎな沖縄のおばあが続々！【秘密のケンミンSHOW極公式|2019年5月16日 放送】,【公式】秘密のケンミンSHOW極,1064930,2023-04-07T11:00:31Z,https://www.youtube.com/watch?v=cKJWlWFOhxY
沖縄の歌姫2人の透き通る癒しボイス『三線の花 / BEGIN』沖縄方言で歌ったら、なんだか懐かしい気持ちになった！Nanaironote feat. 田福真美 &amp; 石嶺愛莉【4KMV】,Nanaironote,2542621,2022-12-07T12:00:08Z,https://www.youtube.com/watch?v=N5PwBXNY8jw
楽しく学べる沖縄方言Vol.1,おきなわちゃんねる,98345,2022-02-11T10:00:14Z,https://www.youtube.com/watch?v=Vesck-FX5ec
【沖縄】発音で意味が変化するウチナーグチ【秘密のケンミンSHOW極公式|2022年7月7日 放送】,【公式】秘密のケンミンSHOW極,38735,2023-06-19T10:17:45Z,https://www.youtube.com/watch?v=f0R-AdM1ILE
【 方言 で 歌ってみた 】 沖縄 女性 がガチの「 残酷な天使のテーゼ エヴァンゲリオン 」ウチナーグチ ver. よ、神話になれ！【歌い手甲子園2023春 西軍 Jアニ】,rain@沖縄方言で歌ってみた,140766,2023-03-24T08:45:06Z,https://www.youtube.com/watch?v=kglRoOxwjII
【 アフレコ 】歌うまだけどゴリゴリ方言禁止! 昭和の名曲 編 まとめ 【 沖縄 方言 すぎる 白雪姫　歌ってみた 】 ※子ども向けコンテンツではありません,rain@沖縄方言で歌ってみた,387747,2025-03-20T08:45:06Z,https://www.youtube.com/watch?v=1BBBXhwqygg
日系ブラジル人の沖縄方言（ウチナーグチ）がレベチだった【じゅん選手感動】,おきなわちゃんねる,89598,2022-12-05T09:13:01Z,https://www.youtube.com/watch?v=06no06juudY
【アフレコ】 鏡よ鏡 〜「コーラ」&quot;じゅん選手&quot;と衝撃コラボ編②～【沖縄方言 すぎる 白雪姫】 #shorts,rain@沖縄方言で歌ってみた,251644,2024-02-26T08:45:01Z,https://www.youtube.com/watch?v=G7UJbxfJYYo
